node,degree,in_degree,out_degree,pagerank,interval_start,interval_end
146,1,0,1,0.004857906588702999,2019-03-19 11:45:00,2019-03-19 12:00:00
23,1,1,0,0.008987055904586403,2019-03-19 12:00:00,2019-03-19 12:15:00
146,1,0,1,0.004857906588702999,2019-03-19 12:00:00,2019-03-19 12:15:00
126,1,1,0,0.008987055904586403,2019-03-19 12:30:00,2019-03-19 12:45:00
195,1,0,1,0.004857906588702999,2019-03-19 12:30:00,2019-03-19 12:45:00
126,2,0,2,0.004857906588702999,2019-03-19 12:45:00,2019-03-19 13:00:00
195,2,2,0,0.008987055904586403,2019-03-19 12:45:00,2019-03-19 13:00:00
111,2,1,1,0.03103880199262298,2019-03-19 13:00:00,2019-03-19 13:15:00
126,2,0,2,0.004730099271074233,2019-03-19 13:00:00,2019-03-19 13:15:00
195,2,2,0,0.008751045979315475,2019-03-19 13:00:00,2019-03-19 13:15:00
126,2,0,2,0.004857906588702999,2019-03-19 13:15:00,2019-03-19 13:30:00
195,2,2,0,0.008987055904586403,2019-03-19 13:15:00,2019-03-19 13:30:00
126,2,0,2,0.004857906588702999,2019-03-19 13:30:00,2019-03-19 13:45:00
195,2,2,0,0.008987055904586403,2019-03-19 13:30:00,2019-03-19 13:45:00
126,2,0,2,0.004857906588702999,2019-03-19 13:45:00,2019-03-19 14:00:00
195,2,2,0,0.008987055904586403,2019-03-19 13:45:00,2019-03-19 14:00:00
126,2,0,2,0.004857906588702999,2019-03-19 14:00:00,2019-03-19 14:15:00
195,2,2,0,0.008987055904586403,2019-03-19 14:00:00,2019-03-19 14:15:00
46,1,1,0,0.008949889293538973,2019-03-19 14:15:00,2019-03-19 14:30:00
111,1,0,1,0.004837932125186799,2019-03-19 14:15:00,2019-03-19 14:30:00
126,2,0,2,0.004837932125186799,2019-03-19 14:15:00,2019-03-19 14:30:00
195,2,2,0,0.008949889293538973,2019-03-19 14:15:00,2019-03-19 14:30:00
46,1,1,0,0.008987055904586403,2019-03-19 14:30:00,2019-03-19 14:45:00
111,1,0,1,0.004857906588702999,2019-03-19 14:30:00,2019-03-19 14:45:00
46,1,0,1,0.004857906588702999,2019-03-19 14:45:00,2019-03-19 15:00:00
111,1,1,0,0.008987055904586403,2019-03-19 14:45:00,2019-03-19 15:00:00
46,1,0,1,0.004857906588702999,2019-03-19 15:00:00,2019-03-19 15:15:00
111,1,1,0,0.008987055904586403,2019-03-19 15:00:00,2019-03-19 15:15:00
46,1,0,1,0.004857906588702999,2019-03-19 15:15:00,2019-03-19 15:30:00
111,1,1,0,0.008987055904586403,2019-03-19 15:15:00,2019-03-19 15:30:00
46,1,0,1,0.004857906588702999,2019-03-19 15:30:00,2019-03-19 15:45:00
111,1,1,0,0.008987055904586403,2019-03-19 15:30:00,2019-03-19 15:45:00
46,1,0,1,0.004857906588702999,2019-03-19 15:45:00,2019-03-19 16:00:00
111,1,1,0,0.008987055904586403,2019-03-19 15:45:00,2019-03-19 16:00:00
46,1,0,1,0.004857906588702999,2019-03-19 16:00:00,2019-03-19 16:15:00
111,1,1,0,0.008987055904586403,2019-03-19 16:00:00,2019-03-19 16:15:00
18,1,1,0,0.008987055904586403,2019-03-20 12:30:00,2019-03-20 12:45:00
195,1,0,1,0.004857906588702999,2019-03-20 12:30:00,2019-03-20 12:45:00
19,2,0,2,0.004857906588702999,2019-03-20 13:30:00,2019-03-20 13:45:00
112,1,1,0,0.0069224812466447015,2019-03-20 13:30:00,2019-03-20 13:45:00
195,1,1,0,0.0069224812466447015,2019-03-20 13:30:00,2019-03-20 13:45:00
19,3,0,3,0.004857906588702999,2019-03-20 13:45:00,2019-03-20 14:00:00
112,1,1,0,0.006234289693997468,2019-03-20 13:45:00,2019-03-20 14:00:00
195,2,2,0,0.007610672799291935,2019-03-20 13:45:00,2019-03-20 14:00:00
103,2,1,1,0.031163961590191188,2019-03-20 16:00:00,2019-03-20 16:15:00
161,2,1,1,0.031163961590191188,2019-03-20 19:30:00,2019-03-20 19:45:00
161,2,1,1,0.031163961590191188,2019-03-20 20:15:00,2019-03-20 20:30:00
26,2,1,1,0.031163961590191188,2019-03-20 21:00:00,2019-03-20 21:15:00
161,2,1,1,0.031163961590191188,2019-03-20 22:15:00,2019-03-20 22:30:00
161,2,1,1,0.031163961590191188,2019-03-20 22:30:00,2019-03-20 22:45:00
150,6,3,3,0.031163961590191188,2019-03-21 12:15:00,2019-03-21 12:30:00
150,4,2,2,0.031163961590191188,2019-03-21 12:30:00,2019-03-21 12:45:00
195,4,2,2,0.031163961590191188,2019-03-21 13:15:00,2019-03-21 13:30:00
18,7,5,2,0.055265503678372886,2019-03-21 13:45:00,2019-03-21 14:00:00
195,5,1,4,0.005873096227185463,2019-03-21 13:45:00,2019-03-21 14:00:00
18,10,5,5,0.03056929995277917,2019-03-21 14:00:00,2019-03-21 14:15:00
195,2,1,1,0.03056929995277917,2019-03-21 14:00:00,2019-03-21 14:15:00
18,20,10,10,0.03056929995277917,2019-03-21 14:15:00,2019-03-21 14:30:00
195,2,1,1,0.03056929995277917,2019-03-21 14:15:00,2019-03-21 14:30:00
18,9,2,7,0.006108608689977004,2019-03-21 14:30:00,2019-03-21 14:45:00
195,7,6,1,0.05502999121558135,2019-03-21 14:30:00,2019-03-21 14:45:00
18,5,0,5,0.00462493300539134,2019-03-21 14:45:00,2019-03-21 15:00:00
195,7,6,1,0.056513666900167014,2019-03-21 14:45:00,2019-03-21 15:00:00
126,1,1,0,0.008987055904586403,2019-03-22 10:15:00,2019-03-22 10:30:00
195,1,0,1,0.004857906588702999,2019-03-22 10:15:00,2019-03-22 10:30:00
18,2,2,0,0.008661735290240702,2019-03-22 10:30:00,2019-03-22 10:45:00
126,4,1,3,0.006755947244787761,2019-03-22 10:30:00,2019-03-22 10:45:00
18,4,2,2,0.031163961590191188,2019-03-22 10:45:00,2019-03-22 11:00:00
18,2,1,1,0.031163961590191188,2019-03-22 11:00:00,2019-03-22 11:15:00
18,2,1,1,0.031163961590191188,2019-03-22 11:15:00,2019-03-22 11:30:00
18,8,4,4,0.031163961590191188,2019-03-22 11:30:00,2019-03-22 11:45:00
18,4,2,2,0.031163961590191188,2019-03-22 11:45:00,2019-03-22 12:00:00
118,2,2,0,0.008987055904586403,2019-03-22 12:45:00,2019-03-22 13:00:00
195,2,0,2,0.004857906588702999,2019-03-22 12:45:00,2019-03-22 13:00:00
118,4,3,1,0.056513666900167014,2019-03-22 13:00:00,2019-03-22 13:15:00
195,2,0,2,0.00462493300539134,2019-03-22 13:00:00,2019-03-22 13:15:00
118,4,0,4,0.004857906588702999,2019-03-22 14:00:00,2019-03-22 14:15:00
195,4,4,0,0.008987055904586403,2019-03-22 14:00:00,2019-03-22 14:15:00
118,4,0,4,0.004857906588702999,2019-03-22 14:15:00,2019-03-22 14:30:00
195,4,4,0,0.008987055904586403,2019-03-22 14:15:00,2019-03-22 14:30:00
118,1,0,1,0.004857906588702999,2019-03-22 14:30:00,2019-03-22 14:45:00
195,1,1,0,0.008987055904586403,2019-03-22 14:30:00,2019-03-22 14:45:00
118,1,0,1,0.00462493300539134,2019-03-22 14:45:00,2019-03-22 15:00:00
195,5,3,2,0.056513666900167014,2019-03-22 14:45:00,2019-03-22 15:00:00
195,6,3,3,0.031163961590191188,2019-03-22 15:00:00,2019-03-22 15:15:00
118,5,5,0,0.008045256593283845,2019-03-22 15:15:00,2019-03-22 15:30:00
195,23,9,14,0.010614109616521036,2019-03-22 15:15:00,2019-03-22 15:30:00
26,1,0,1,0.004837932125186799,2019-03-22 15:30:00,2019-03-22 15:45:00
103,1,1,0,0.008949889293538973,2019-03-22 15:30:00,2019-03-22 15:45:00
118,5,5,0,0.008949889293538973,2019-03-22 15:30:00,2019-03-22 15:45:00
195,5,0,5,0.004837932125186799,2019-03-22 15:30:00,2019-03-22 15:45:00
26,1,0,1,0.004606821559903428,2019-03-22 15:45:00,2019-03-22 16:00:00
103,1,1,0,0.008523006079501598,2019-03-22 15:45:00,2019-03-22 16:00:00
118,5,4,1,0.05629221726010927,2019-03-22 15:45:00,2019-03-22 16:00:00
195,3,0,3,0.004606821559903428,2019-03-22 15:45:00,2019-03-22 16:00:00
118,5,4,1,0.056513666900167014,2019-03-22 16:00:00,2019-03-22 16:15:00
195,3,0,3,0.00462493300539134,2019-03-22 16:00:00,2019-03-22 16:15:00
118,5,4,1,0.056513666900167014,2019-03-22 16:15:00,2019-03-22 16:30:00
195,3,0,3,0.00462493300539134,2019-03-22 16:15:00,2019-03-22 16:30:00
118,4,0,4,0.004857906588702999,2019-03-22 16:30:00,2019-03-22 16:45:00
195,4,4,0,0.008987055904586403,2019-03-22 16:30:00,2019-03-22 16:45:00
118,4,0,4,0.004857906588702999,2019-03-22 16:45:00,2019-03-22 17:00:00
195,4,4,0,0.008987055904586403,2019-03-22 16:45:00,2019-03-22 17:00:00
150,2,1,1,0.031163961590191188,2019-03-22 18:30:00,2019-03-22 18:45:00
150,2,1,1,0.031163961590191188,2019-03-22 18:45:00,2019-03-22 19:00:00
18,1,1,0,0.008987055904586403,2019-03-22 23:45:00,2019-03-23 00:00:00
152,1,0,1,0.004857906588702999,2019-03-22 23:45:00,2019-03-23 00:00:00
15,6,3,3,0.030449519410006357,2019-03-23 00:00:00,2019-03-23 00:15:00
16,1,0,1,0.004606821559903428,2019-03-23 00:00:00,2019-03-23 00:15:00
20,2,1,1,0.030449519410006357,2019-03-23 00:00:00,2019-03-23 00:15:00
103,1,1,0,0.008523006079501598,2019-03-23 00:00:00,2019-03-23 00:15:00
15,6,3,3,0.030462158704084197,2019-03-23 00:15:00,2019-03-23 00:30:00
16,1,0,1,0.004655633981730945,2019-03-23 00:15:00,2019-03-23 00:30:00
18,1,0,1,0.004655633981730945,2019-03-23 00:15:00,2019-03-23 00:30:00
27,1,0,1,0.004655633981730945,2019-03-23 00:15:00,2019-03-23 00:30:00
28,1,1,0,0.008613335786292085,2019-03-23 00:15:00,2019-03-23 00:30:00
58,1,1,0,0.008613335786292085,2019-03-23 00:15:00,2019-03-23 00:30:00
67,1,1,0,0.008613335786292085,2019-03-23 00:15:00,2019-03-23 00:30:00
87,1,0,1,0.004655633981730945,2019-03-23 00:15:00,2019-03-23 00:30:00
103,1,1,0,0.008613335786292085,2019-03-23 00:15:00,2019-03-23 00:30:00
137,1,0,1,0.004655633981730945,2019-03-23 00:15:00,2019-03-23 00:30:00
196,1,1,0,0.008613335786292085,2019-03-23 00:15:00,2019-03-23 00:30:00
27,1,0,1,0.004759636444271105,2019-03-23 00:30:00,2019-03-23 00:45:00
28,1,1,0,0.008805391265007893,2019-03-23 00:30:00,2019-03-23 00:45:00
57,1,0,1,0.004759636444271105,2019-03-23 00:30:00,2019-03-23 00:45:00
67,1,1,0,0.008805391265007893,2019-03-23 00:30:00,2019-03-23 00:45:00
68,1,0,1,0.004759636444271105,2019-03-23 00:30:00,2019-03-23 00:45:00
87,1,0,1,0.004759636444271105,2019-03-23 00:30:00,2019-03-23 00:45:00
111,1,0,1,0.004759636444271105,2019-03-23 00:30:00,2019-03-23 00:45:00
117,1,1,0,0.008805391265007893,2019-03-23 00:30:00,2019-03-23 00:45:00
137,1,0,1,0.004759636444271105,2019-03-23 00:30:00,2019-03-23 00:45:00
163,1,1,0,0.008805391265007893,2019-03-23 00:30:00,2019-03-23 00:45:00
170,1,1,0,0.008805391265007893,2019-03-23 00:30:00,2019-03-23 00:45:00
196,1,1,0,0.008805391265007893,2019-03-23 00:30:00,2019-03-23 00:45:00
57,1,0,1,0.004674133636668848,2019-03-23 00:45:00,2019-03-23 01:00:00
67,1,1,0,0.00864756392533381,2019-03-23 00:45:00,2019-03-23 01:00:00
68,1,0,1,0.004674133636668848,2019-03-23 00:45:00,2019-03-23 01:00:00
87,1,0,1,0.004674133636668848,2019-03-23 00:45:00,2019-03-23 01:00:00
111,1,0,1,0.004674133636668848,2019-03-23 00:45:00,2019-03-23 01:00:00
117,1,1,0,0.00864756392533381,2019-03-23 00:45:00,2019-03-23 01:00:00
125,2,1,1,0.030583016964900303,2019-03-23 00:45:00,2019-03-23 01:00:00
163,1,1,0,0.00864756392533381,2019-03-23 00:45:00,2019-03-23 01:00:00
170,1,1,0,0.00864756392533381,2019-03-23 00:45:00,2019-03-23 01:00:00
1,2,0,2,0.004711155266344512,2019-03-23 01:00:00,2019-03-23 01:15:00
16,1,0,1,0.004711155266344512,2019-03-23 01:00:00,2019-03-23 01:15:00
30,2,2,0,0.008715996248688114,2019-03-23 01:00:00,2019-03-23 01:15:00
58,1,1,0,0.008715996248688114,2019-03-23 01:00:00,2019-03-23 01:15:00
125,2,1,1,0.030914643701029906,2019-03-23 01:00:00,2019-03-23 01:15:00
1,2,0,2,0.004781889030446655,2019-03-23 01:15:00,2019-03-23 01:30:00
16,3,2,1,0.008846454948781574,2019-03-23 01:15:00,2019-03-23 01:30:00
18,2,0,2,0.004781889030446655,2019-03-23 01:15:00,2019-03-23 01:30:00
30,2,2,0,0.008846454948781574,2019-03-23 01:15:00,2019-03-23 01:30:00
58,1,1,0,0.012300940033879014,2019-03-23 01:15:00,2019-03-23 01:30:00
136,2,0,2,0.004781889030446655,2019-03-23 01:15:00,2019-03-23 01:30:00
137,2,2,0,0.008846454948781574,2019-03-23 01:15:00,2019-03-23 01:30:00
16,2,2,0,0.0088771775537988,2019-03-23 01:30:00,2019-03-23 01:45:00
18,2,0,2,0.004798464128282619,2019-03-23 01:30:00,2019-03-23 01:45:00
119,1,1,0,0.0088771775537988,2019-03-23 01:30:00,2019-03-23 01:45:00
126,1,0,1,0.004798464128282619,2019-03-23 01:30:00,2019-03-23 01:45:00
136,2,0,2,0.004798464128282619,2019-03-23 01:30:00,2019-03-23 01:45:00
137,2,2,0,0.0088771775537988,2019-03-23 01:30:00,2019-03-23 01:45:00
140,1,0,1,0.004798464128282619,2019-03-23 01:30:00,2019-03-23 01:45:00
202,1,1,0,0.0088771775537988,2019-03-23 01:30:00,2019-03-23 01:45:00
108,2,0,2,0.004837932125186799,2019-03-23 01:45:00,2019-03-23 02:00:00
113,2,2,0,0.008949889293538973,2019-03-23 01:45:00,2019-03-23 02:00:00
126,1,0,1,0.004837932125186799,2019-03-23 01:45:00,2019-03-23 02:00:00
202,1,1,0,0.008949889293538973,2019-03-23 01:45:00,2019-03-23 02:00:00
15,4,2,2,0.030583016964900303,2019-03-23 02:00:00,2019-03-23 02:15:00
89,1,1,0,0.008647563925333808,2019-03-23 02:00:00,2019-03-23 02:15:00
98,1,1,0,0.008647563925333808,2019-03-23 02:00:00,2019-03-23 02:15:00
108,2,0,2,0.004674133636668848,2019-03-23 02:00:00,2019-03-23 02:15:00
113,2,2,0,0.008647563925333808,2019-03-23 02:00:00,2019-03-23 02:15:00
115,1,1,0,0.008647563925333808,2019-03-23 02:00:00,2019-03-23 02:15:00
163,1,0,1,0.004674133636668848,2019-03-23 02:00:00,2019-03-23 02:15:00
172,1,0,1,0.004674133636668848,2019-03-23 02:00:00,2019-03-23 02:15:00
195,1,0,1,0.004674133636668848,2019-03-23 02:00:00,2019-03-23 02:15:00
15,4,2,2,0.030583016964900303,2019-03-23 02:15:00,2019-03-23 02:30:00
58,2,2,0,0.008647563925333808,2019-03-23 02:15:00,2019-03-23 02:30:00
89,1,1,0,0.008647563925333808,2019-03-23 02:15:00,2019-03-23 02:30:00
98,1,1,0,0.008647563925333808,2019-03-23 02:15:00,2019-03-23 02:30:00
108,2,0,2,0.004674133636668848,2019-03-23 02:15:00,2019-03-23 02:30:00
113,2,2,0,0.008647563925333808,2019-03-23 02:15:00,2019-03-23 02:30:00
157,2,0,2,0.004674133636668848,2019-03-23 02:15:00,2019-03-23 02:30:00
163,1,0,1,0.004674133636668848,2019-03-23 02:15:00,2019-03-23 02:30:00
172,1,0,1,0.004674133636668848,2019-03-23 02:15:00,2019-03-23 02:30:00
61,1,1,0,0.008877177553798802,2019-03-23 02:30:00,2019-03-23 02:45:00
89,1,1,0,0.008877177553798802,2019-03-23 02:30:00,2019-03-23 02:45:00
98,1,1,0,0.008877177553798802,2019-03-23 02:30:00,2019-03-23 02:45:00
108,2,0,2,0.004798464128282619,2019-03-23 02:30:00,2019-03-23 02:45:00
113,2,2,0,0.008877177553798802,2019-03-23 02:30:00,2019-03-23 02:45:00
163,1,0,1,0.004798464128282619,2019-03-23 02:30:00,2019-03-23 02:45:00
171,1,0,1,0.004798464128282619,2019-03-23 02:30:00,2019-03-23 02:45:00
172,1,0,1,0.004798464128282619,2019-03-23 02:30:00,2019-03-23 02:45:00
61,1,1,0,0.008949889293538972,2019-03-23 02:45:00,2019-03-23 03:00:00
89,1,1,0,0.008949889293538972,2019-03-23 02:45:00,2019-03-23 03:00:00
163,1,0,1,0.004837932125186798,2019-03-23 02:45:00,2019-03-23 03:00:00
171,1,0,1,0.004837932125186798,2019-03-23 02:45:00,2019-03-23 03:00:00
5,1,1,0,0.008913522582695454,2019-03-23 03:00:00,2019-03-23 03:15:00
16,4,0,4,0.004818116001247109,2019-03-23 03:00:00,2019-03-23 03:15:00
23,1,0,1,0.004818116001247109,2019-03-23 03:00:00,2019-03-23 03:15:00
89,1,1,0,0.008913522582695454,2019-03-23 03:00:00,2019-03-23 03:15:00
140,4,4,0,0.008913522582695454,2019-03-23 03:00:00,2019-03-23 03:15:00
163,1,0,1,0.004818116001247109,2019-03-23 03:00:00,2019-03-23 03:15:00
2,1,1,0,0.008810650146251556,2019-03-23 03:15:00,2019-03-23 03:30:00
5,1,1,0,0.008810650146251556,2019-03-23 03:15:00,2019-03-23 03:30:00
16,4,0,4,0.0047625316609125595,2019-03-23 03:15:00,2019-03-23 03:30:00
23,1,0,1,0.0047625316609125595,2019-03-23 03:15:00,2019-03-23 03:30:00
89,1,1,0,0.008810650146251556,2019-03-23 03:15:00,2019-03-23 03:30:00
119,1,0,1,0.0047625316609125595,2019-03-23 03:15:00,2019-03-23 03:30:00
139,4,4,0,0.012251067232480723,2019-03-23 03:15:00,2019-03-23 03:30:00
140,8,4,4,0.008810650146251556,2019-03-23 03:15:00,2019-03-23 03:30:00
163,1,0,1,0.0047625316609125595,2019-03-23 03:15:00,2019-03-23 03:30:00
2,1,1,0,0.0088771775537988,2019-03-23 03:30:00,2019-03-23 03:45:00
5,1,1,0,0.0088771775537988,2019-03-23 03:30:00,2019-03-23 03:45:00
23,1,0,1,0.004798464128282619,2019-03-23 03:30:00,2019-03-23 03:45:00
89,1,1,0,0.0088771775537988,2019-03-23 03:30:00,2019-03-23 03:45:00
119,1,0,1,0.004798464128282619,2019-03-23 03:30:00,2019-03-23 03:45:00
139,4,4,0,0.0088771775537988,2019-03-23 03:30:00,2019-03-23 03:45:00
140,4,0,4,0.004798464128282619,2019-03-23 03:30:00,2019-03-23 03:45:00
163,1,0,1,0.004798464128282619,2019-03-23 03:30:00,2019-03-23 03:45:00
1,2,2,0,0.008805391265007892,2019-03-23 03:45:00,2019-03-23 04:00:00
5,1,1,0,0.008805391265007892,2019-03-23 03:45:00,2019-03-23 04:00:00
19,1,0,1,0.004759636444271105,2019-03-23 03:45:00,2019-03-23 04:00:00
23,1,0,1,0.004759636444271105,2019-03-23 03:45:00,2019-03-23 04:00:00
87,2,2,0,0.008805391265007892,2019-03-23 03:45:00,2019-03-23 04:00:00
89,1,1,0,0.008805391265007892,2019-03-23 03:45:00,2019-03-23 04:00:00
136,3,0,3,0.004759636444271105,2019-03-23 03:45:00,2019-03-23 04:00:00
137,2,0,2,0.004759636444271105,2019-03-23 03:45:00,2019-03-23 04:00:00
163,1,0,1,0.004759636444271105,2019-03-23 03:45:00,2019-03-23 04:00:00
167,3,3,0,0.008805391265007892,2019-03-23 03:45:00,2019-03-23 04:00:00
189,2,0,2,0.004759636444271105,2019-03-23 03:45:00,2019-03-23 04:00:00
190,1,1,0,0.008805391265007892,2019-03-23 03:45:00,2019-03-23 04:00:00
1,2,2,0,0.008775135004045597,2019-03-23 04:00:00,2019-03-23 04:15:00
5,1,1,0,0.008775135004045597,2019-03-23 04:00:00,2019-03-23 04:15:00
23,1,0,1,0.004743330249772313,2019-03-23 04:00:00,2019-03-23 04:15:00
87,2,2,0,0.008775135004045597,2019-03-23 04:00:00,2019-03-23 04:15:00
89,1,1,0,0.008775135004045597,2019-03-23 04:00:00,2019-03-23 04:15:00
136,4,1,3,0.008775135004045597,2019-03-23 04:00:00,2019-03-23 04:15:00
137,2,0,2,0.004743330249772313,2019-03-23 04:00:00,2019-03-23 04:15:00
157,1,0,1,0.004743330249772313,2019-03-23 04:00:00,2019-03-23 04:15:00
163,1,0,1,0.004743330249772313,2019-03-23 04:00:00,2019-03-23 04:15:00
167,3,3,0,0.012201605275080553,2019-03-23 04:00:00,2019-03-23 04:15:00
189,2,0,2,0.004743330249772313,2019-03-23 04:00:00,2019-03-23 04:15:00
1,2,2,0,0.0088771775537988,2019-03-23 04:15:00,2019-03-23 04:30:00
5,1,1,0,0.0088771775537988,2019-03-23 04:15:00,2019-03-23 04:30:00
23,1,0,1,0.004798464128282619,2019-03-23 04:15:00,2019-03-23 04:30:00
89,1,1,0,0.0088771775537988,2019-03-23 04:15:00,2019-03-23 04:30:00
136,1,1,0,0.0088771775537988,2019-03-23 04:15:00,2019-03-23 04:30:00
157,1,0,1,0.004798464128282619,2019-03-23 04:15:00,2019-03-23 04:30:00
163,1,0,1,0.004798464128282619,2019-03-23 04:15:00,2019-03-23 04:30:00
189,2,0,2,0.004798464128282619,2019-03-23 04:15:00,2019-03-23 04:30:00
1,2,2,0,0.0088771775537988,2019-03-23 04:30:00,2019-03-23 04:45:00
5,1,1,0,0.0088771775537988,2019-03-23 04:30:00,2019-03-23 04:45:00
23,1,0,1,0.004798464128282619,2019-03-23 04:30:00,2019-03-23 04:45:00
89,1,1,0,0.0088771775537988,2019-03-23 04:30:00,2019-03-23 04:45:00
136,1,1,0,0.0088771775537988,2019-03-23 04:30:00,2019-03-23 04:45:00
157,1,0,1,0.004798464128282619,2019-03-23 04:30:00,2019-03-23 04:45:00
163,1,0,1,0.004798464128282619,2019-03-23 04:30:00,2019-03-23 04:45:00
189,2,0,2,0.004798464128282619,2019-03-23 04:30:00,2019-03-23 04:45:00
1,2,2,0,0.0088771775537988,2019-03-23 04:45:00,2019-03-23 05:00:00
5,1,1,0,0.0088771775537988,2019-03-23 04:45:00,2019-03-23 05:00:00
23,1,0,1,0.004798464128282619,2019-03-23 04:45:00,2019-03-23 05:00:00
89,1,1,0,0.0088771775537988,2019-03-23 04:45:00,2019-03-23 05:00:00
136,1,1,0,0.0088771775537988,2019-03-23 04:45:00,2019-03-23 05:00:00
157,1,0,1,0.004798464128282619,2019-03-23 04:45:00,2019-03-23 05:00:00
163,1,0,1,0.004798464128282619,2019-03-23 04:45:00,2019-03-23 05:00:00
189,2,0,2,0.004798464128282619,2019-03-23 04:45:00,2019-03-23 05:00:00
1,2,2,0,0.0088771775537988,2019-03-23 05:00:00,2019-03-23 05:15:00
5,1,1,0,0.0088771775537988,2019-03-23 05:00:00,2019-03-23 05:15:00
23,1,0,1,0.004798464128282619,2019-03-23 05:00:00,2019-03-23 05:15:00
